,region,floor,total_area,living_area,kitchen_area,floors_total,rooms
158,Орджоникидзевский,8,53.0,30.0,8.0,10,2
159,Орджоникидзевский,5,65.9,45.0,9.0,9,3
160,Unknow,1,50.0,32.0,9.0,9,2
161,Правобережный,5,62.4,39.2,7.0,5,3
162,Ленинский,1,68.5,45.0,15.0,2,2
163,Правобережный,5,46.0,29.0,6.0,5,2
164,Ленинский,1,32.8,20.0,7.0,3,1
165,Правобережный,4,60.2,48.0,6.0,5,3
166,Правобережный,5,44.0,30.0,6.0,5,2
167,Орджоникидзевский,2,76.3,50.0,9.0,9,4
168,Unknow,4,92.9,55.0,12.0,16,3
169,Unknow,14,75.0,45.0,10.0,14,3
170,Unknow,2,33.0,18.0,6.0,5,1
171,Unknow,2,38.0,17.0,12.0,4,1
172,Орджоникидзевский,7,64.0,40.3,8.5,10,3
173,Правобережный,4,61.2,44.8,9.0,5,4
174,Unknow,1,32.4,30.0,10.0,2,2
175,Unknow,2,14.1,12.0,2.9,2,1
176,Ленинский,3,44.1,30.0,6.0,5,2
177,Правобережный,5,65.0,50.0,6.0,5,4
178,Unknow,5,60.0,35.0,9.0,5,2
179,Unknow,1,51.9,31.0,9.0,4,2
180,Unknow,9,65.3,42.0,9.0,9,3
181,Unknow,1,30.3,19.0,5.0,5,1
182,Unknow,4,49.9,32.0,9.0,9,2
183,Unknow,1,69.0,40.0,20.0,2,3
184,Орджоникидзевский,9,65.2,34.34,14.0,10,2
185,Ленинский,3,43.2,24.9,6.0,10,2
186,Орджоникидзевский,1,58.4,38.6,6.0,5,3
187,Правобережный,2,35.6,13.0,12.5,9,1
188,Правобережный,3,62.0,46.0,6.0,5,3
